key,text,english,notes,tag,checked
version,6.01,6.02, ,float,True
pdf_title,6000 éves emberi történelem vizualizálva,6000 years human history visualized,2026-02-11,text,False
pdf_subject,Az emberiség idővonala,Timeline of humankind, ,text,False
BCE,I. e.,B.C.E., ,B9,True
CE,I. sz.,C.E., ,B9,True
month,hónap,month, ,text,False
months,Hónapok,months, ,text,False
day,nap,day, ,text,False
days,Napok,days, ,text,False
to,hoz,to, ,text,False
Deluge,Áradat,Deluge, ,text,False
moses2,1593-tól 1473-ig BCE - 120 év,1593 to 1473 B.C.E. – 120 years, ,text,False
temple1,Niszán 1513-tól Zivig 1034 BCE-ig,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False
69weeks,Jézus i. sz. 29 őszén keresztelkedett meg.,Jesus baptized autumn 29 C.E., ,text,False
year,év,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False
years,Év,years, ,text,False
years_age,Év,years,years when used as age for a person (different word than years in some languages),text,False
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False
wilderness,Izrael a pusztában 1513-tól 1473-ig – 40 év,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False
timespan_judges,1473-tól 1117-ig - 356 év,1473 to 1117 B.C.E. – 356 years, ,text,False
timespan_judges2,A bírák ideje,Time of the judges, ,text,False
temple2,479 év a templom építéséig – 1Királyok 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False
69weeks2,69 hét a Messiásig – Dániel 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,False
jesus_service,"3,5 év Jézus szolgálata, kivégezték Niszán 14-én, i. sz. 33","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False
jesus_life,"Jézus, született Kr.e. 2-ben",Jesus born 2 B.C.E., ,text,False
exile,607–537 – 70 év (Jeremiás 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,False
exile2,száműzetés,Exile, ,text,False
7times2,7-szer – 2520 évvel a messiási királyságig 1914-ben (Dániel 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,False
ww1,Első világháború – i. sz. 1914–1918,World War I – 1914–1918, ,text,False
ww2,II. világháború – 1939–1945,World War II – 1939–1945, ,text,False
30_year_war,Harmincéves háború Európában 1618-1648,Thirty Years' War in Europe 1618-1648, ,text,False
joshua,110 év,110 years, ,text,False
caleb,több mint 85 év,more than 85 years, ,text,False
missionary1,"Pál első missziós útja, kb. i. sz. 47-48 Barnabással és János Márkkal","First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark", ,text,False
circumcision,"A körülmetélés kérdése Antiókhiában, konferencia Jeruzsálemben i. sz. 49 körül","Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.", ,text,False
missionary2,Második missziós út kb. i. sz. 49-52 Silasszal (Silvanus),Second Missionary Journey c. 49-52 C.E with Silas (Silvanus), ,text,False
missionary3,Harmadik missziós utazás i. sz. 52-56 körül,Third Missionary Journey c. 52-56 C.E., ,text,False
caesarea,Pál őrizetben Cezáreában kb. i. sz. 56-58,Paul in custody in Caesarea c. 56-58 C.E., ,text,False
rome1,Pál első római bebörtönzése kb. i. sz. 59-61,Paul’s first imprisonment in Rome c. 59-61 C.E., ,text,False
rome2,"Pál második római bebörtönzése i. sz. 65 körül, 2 Timóteus írása, Pál kivégzése","Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed", ,text,False
event_exodus,Kivonulás Egyiptomból 1513. niszán 14-én,"Exodus from Egypt on Nisan 14th, 1513 B.C.E.", ,text,False
event_division_kingdom,Izrael felosztása i. e. 997,Division of Israel 997 BCE, ,text,False
event_destruction_samaria,Samária elpusztítása i.e. 740-ben Asszíria által,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria,text,False
event_destruction_jerusalem1,"Jeruzsálem pusztulása 607-ben Babilon által, 390 évvel a királyság felosztása után (Ezékiel 4:5)","Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)", ,text,False
event_temple_rebuilt,A jeruzsálemi templom újjáépítése Kr.e. 515-ben,Temple in Jerusalem rebuilt 515 B.C.E., ,text,False
event_jerusalem_rebuilt,A jeruzsálemi falat Kr.e. 455-ben újjáépítették.,Jerusalem wall rebuilt 455 B.C.E., ,text,False
event_destruction_jerusalem2,Jeruzsálem lerombolása i. sz. 70 Róma által Titusz alatt,Destruction of Jerusalem 70 C.E. by Rome under Titus, ,text,False
event_1914,"A nemzetek idejének vége, Isten királysága uralkodni kezd a mennyben 1914 i. sz. ","End of the time of the nations (Luke 21:24), God’s Kingdom starts to rule in heaven 1914 C.E.", ,text,False
became_king,korában király lett,becomes king at age, ,text,False
vulgate,A Vulgatát Jeromos fejezte be (a Biblia latin fordítása) kb. i. sz. 405,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E., ,text,False
gutenberg,Gutenberg Biblia nyomtatása 1455,Gutenberg Bible printed 1455, ,text,False
erasmus,"A Keresztény Görög Iratok görög szövege, kiadta Desiderius Erasmus rotterdami herceg, 1516;",Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516, ,text,False
luther,Luther bibliafordítása 1522 szeptemberében,Luther Bible translation in September 1522, ,text,False
tyndale,"Angol bibliafordítás: Tyndale, 1536",English Bible translation by Tyndale 1536, ,text,False
king_james,Jakab király Biblia 1611,King James Bible 1611, ,text,False
69weeks3,"Jézus 29-ben kezdi meg szolgálatát (Lukács 3:1, 21)","Jesus starts his service 29 CE (Luke 3:1, 21)", ,text,False
ransom,"a hét közepe ""áldozat, hogy megszűnjön"" Dániel 9:27",Middle of week “sacrifice to cease” Daniel 9:27, ,text,False
cornelius,Kornélius a 70. hét végén keresztelkedett meg (Dániel 9:24) i. sz. 36-ban.,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E., ,text,False
columbus,a Kolumbusz előtti időszak vége Amerikában 1492,End of the pre-columbian period in the Americas 1492, ,text,False
declaration_independence,13 amerikai gyarmat függetlenségének kikiáltása 1776,Declaration of independence of 13 colonies in America 1776, ,text,False
tischendorf,Tischendorf 1844-ben fedezi fel a Codex Sinaiticust a 4. századból,Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844, ,text,False
dead_sea_scrolls,Holt-tengeri tekercsek írva,Dead Sea Scrolls written, ,text,False
septuagint,Septuaginta LXX fordítás,Septuagint LXX translated, ,text,False
watchtower,"A ""Sion Őrtornya és Krisztus jelenlétének hírnöke"" első száma 1879-ben jelenik meg",The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879, ,text,False
jehovahs_witnesses,"A Bibliakutatók új nevet vettek fel: Jehova Tanúi. Columbus, Ohio, 1931","The Bible Students adopt a new name – Jehovah’s Witnesses (Isaiah 43:10, 12) in Columbus, Ohio, 1931", ,text,False
gilead_school,"Az Őrtorony Gileád Bibliaiskola 1943. február 1-jén, hétfőn kezdődött","Watchtower Bible School of Gilead begins on Monday, February 1, 1943", ,text,False
new_world_translation1,"""A Szentírás új világ fordítása"" megjelent Manchesterben, Angliában, 1960. június 18-án","“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960, reintroduces the name Jehovah in many parts of the Bible", ,text,False
new_world_translation2,"Átdolgozott ""A Szentírás új világ fordítása"", megjelent a 2013-as éves találkozón","Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013, optimized to be used digitally and online", ,text,False
cold_war,"A ""hidegháború"" címkével ellátott geopolitikai helyzet 1945-1991",Geopolitical situation labeled “Cold War” 1945-1991, ,text,False
timeline_created,"Ezt az idővonalat 2023-ban hozták létre, az emberi történelem legforróbb évében és az elmúlt 125 000 évben","This timeline is created in 2023, the hottest year in human history and the last 125,000 years", ,text,False
codex_sinaiticus,Codex Sinaiticus írása,Codex Sinaiticus written, ,text,False
codex_vaticanus,Codex Vaticanus írása,Codex Vaticanus written, ,text,False
leningrad_codex,Kairóban írt Leningrádi kódex Kr. u. 1008,Leningrad Codex written in Cairo AD 1008, ,text,False
john,"János ""kinyilatkoztatást"" ír száműzetésében Pátmosz 96-98-ban.",John writes “revelation” while exiled on Patmos 96-98 C.E., ,text,False
buddha,Buddha – Gautama Sziddhártha Kr.e. 563-483 körül,The Buddha – Siddhartha Gautama c.563-c.483 B.C.E, ,text,False
buddha2,Buddha kb. Kr.e. 480-400,Buddha alternatively c. 480-400 B.C.E., ,text,False
mohammed,Mohamed kb. i. sz. 570-632,Mohammed c. 570-632, ,text,False
confucius,Konfuciusz kb. Kr.e. 551-c.479,Confucius c.551-c.479 B.C.E., ,text,False
